revenue,profit,total_assets,taxes
7762655,418456,67177287,121352
7080493,168852,13419743,15196
9158265,56844,24209567,7389
7771151,342296,45588730,82151
1661399,267806,43973399,18746
7905459,125630,43166955,23869
8605744,923786,49210942,221708
594439,72239,15580360,21671
8302689,723678,77716608,217103
1559820,148451,50769927,14845
757028,564996,4410737,141249
5425274,42742,89412409,10258
7371080,821572,59701932,41078
2383224,750682,33076234,97588
7435000,53616,57569372,12867
7426515,562450,86616152,118114
4243075,973074,52436554,165422
4755420,772328,59997914,146742
9415548,666021,73543948,159845
9309708,378729,95221522,45447
2013023,113561,4209456,24983
4596369,30420,84548852,6996
5834569,452634,92935382,31684
4100327,429085,35416029,64362
6043654,74592,81927147,12680
1852137,789716,18810197,63177
6954516,249486,39034020,12474
6669421,453442,57543487,58947
2996021,253498,74536197,20279
7185686,486309,44624848,111851
9967899,749332,15810414,134879
310437,657151,15293476,59143
3877732,752128,51212070,172989
1203907,949776,19655780,75982
2625427,630198,40091560,94529
3442490,156825,53151666,34501
6870233,203338,95894082,16267
6412428,764535,4066489,191133
4877447,477343,53018297,33414
3286067,474217,38488505,123296
9941257,394731,25433417,90788
3486005,245565,95662680,54024
4569600,275294,69712488,57811
8273234,909365,57529988,172779
281196,165331,22978016,41332
7291886,867622,1526327,138819
9447868,569702,8846187,39879
4371414,450081,26222808,76513
759171,672090,67219893,60488
6456181,10475,90694314,1047
8562642,638739,30416355,51099
4124913,155916,66166871,40538
5259344,91415,2178432,4570
2389515,224392,80260994,62829
9294578,206230,84549406,28872
5261743,589848,35040271,47187
5125024,382669,37944528,84187
2373901,795678,9217142,175049
9560900,73628,97664527,7362
6351944,249475,67393009,12473
2728635,685308,42999053,130208
9922761,741594,5944908,37079
1694417,917875,53795812,174396
9945558,358493,94988178,39434
4751577,363387,4650303,83579
6144928,174958,29051722,33242
1595857,674172,18029968,175284
912037,797956,4961600,111713
1617102,415918,35131745,20795
5770631,121019,25107400,10891
2391021,241826,15187637,26600
5903551,601605,57660960,120321
534764,868258,52838618,191016
3120674,847473,37183884,228817
9117091,419945,53326630,33595
4853651,677238,78289346,88040
2879747,330741,94740916,82685
2761628,69830,3927328,11871
8666211,885729,66200699,168288
3686237,706046,72434726,70604
2872472,303804,59140076,24304
6307605,204938,58652294,38938
5131550,688718,14756713,34435
4005576,440796,45893759,44079
6537519,104691,71933688,28266
9266235,814641,53754244,236245
779799,586111,84961066,87916
5826487,188815,56475711,52868
4353655,194710,68681892,13629
5971149,195813,7076766,25455
