ent_id,name,skill_id
589,Scarlove,1297
512,Apemalachite,1084
476,Queenwhite,490
1057,Hunterzest,456
229,Whimseybog,846
1207,Ogrestripe,986
302,Slothpower,687
1305,Divetar,1010
845,Snarldisco,566
267,Thumbcandy,215
528,Roarpattern,1300
461,Whaleplum,622
617,Spritesmall,508
458,Mothsponge,1287
69,Sargentred,1254
1258,Dogtiny,52
1324,Binderbone,545
1117,Watchercanyon,228
1333,Lifterhate,70
28,Thumbbrick,1469
218,Graspancient,271
1251,Donkeydandy,774
137,Carverdiamond,87
82,Samuraicookie,998
1008,Soarerscarlet,733
607,Kittensky,85
1454,Hidetitanium,168
513,Centaurtabby,586
851,Ringershadow,1342
833,Yaksour,1475
397,Braidmulberry,23
111,Stallionebony,1157
1019,Noseindigo,2
499,Koalaspot,55
1302,Ribbog,768
412,Runnercerulean,285
1293,Knifecotton,399
714,Maskcoal,602
494,Sightfire,549
257,Thiefcactus,1116
723,Nosenight,53
1435,Bootsouth,1
890,Raptorsprinkle,389
388,Kangaroomountain,1352
475,Tailwest,737
946,Arrowstitch,536
624,Scribefoil,1207
1489,Speartreasure,274
1165,Mistressmagenta,808
721,Huggercrocus,840
774,Ninjaspring,1160
1162,Snagglefoottrail,95
1116,Tigerstone,392
853,Weaselcoffee,897
1237,Sightroan,1329
606,Collarsolar,580
1460,Toebranch,1020
503,Ringerperidot,1267
697,Frightchocolate,546
207,Legsgarnet,1134
1467,Chatterpool,1427
492,Touchnotch,496
968,Nosesilver,372
970,Leopardmeteor,824
468,Shiftgrove,878
962,Ridertabby,259
895,Sagepeat,172
413,Voicedour,11
436,Chillernickel,6
1219,Healerviridian,847
668,Jaygarnet,1065
7,Chatterpebble,911
151,Roarbrick,224
1479,Gamblerebony,1457
411,Legendflannel,316
825,Curtainnettle,1368
886,Pumajust,738
1380,Talonlavender,382
1382,Spearquilt,1454
179,Cloudpond,1124
27,Geckolily,678
688,Stallionnova,608
488,Dancerboulder,428
1129,Neckoil,850
1424,Crowrain,261
1099,Hissbuttercup,1044
534,Beakebony,686
309,Kangaroonarrow,1492
272,Gullcoffee,1403
736,Dragonfrost,982
1450,Duckstorm,1389
816,Hidemaple,297
5,Boaholy,17
618,Spikered,268
54,Jaguarbloom,22
800,Ridgejuniper,329
1387,Chatterleather,1192
192,Foefire,1000
663,Hairpalm,221
259,Fishfuschia,246
81,Fairywalnut,692
460,Seedlava,1009
572,Friendlong,1433
115,Deathchisel,591
314,Dukeweed,161
787,Kingholly,677
127,Crafterfrill,381
